Epoch,Loss,Train_Accuracy,Val_Accuracy
1,1.1061694410112168,0.3337962965170542,0.32455357164144516
2,1.0973362180921766,0.3476851854059431,0.41696428656578066
3,1.086509116490682,0.424074074294832,0.4209821432828903
4,1.0585962586932711,0.41828703747855295,0.4366071432828903
5,1.0649179114235772,0.4203703708118863,0.42723214328289033
6,1.0538129846254984,0.42962962985038755,0.42410714328289034
7,1.0516980131467184,0.39791666666666664,0.42008928656578065
8,1.0470682488547431,0.4076388888888889,0.434375
9,1.0366141981548733,0.4377314819229974,0.42633928656578063
10,1.0376871956719294,0.4152777777777778,0.4375
11,1.030537376138899,0.43101851873927643,0.45089285969734194
12,1.027135513888465,0.4344907409614987,0.4633928596973419
13,1.004049876001146,0.44351851873927645,0.4758928596973419
14,0.9975686139530606,0.47893518540594315,0.5174107134342194
15,0.9703536470731099,0.5064814819229974,0.503125
16,0.9652511278788248,0.5027777777777778,0.525
17,0.9451167517238193,0.53125,0.5165178596973419
18,0.9650968922509088,0.5122685187392765,0.5361607134342193
19,0.9582727273305257,0.5185185187392765,0.5424107134342193
20,0.9386530107922024,0.5391203708118862,0.5133928596973419
21,0.9384788248274062,0.5331018520726098,0.5839285731315613
22,0.9290344013108147,0.5611111111111111,0.53125
23,0.9518608914481269,0.5090277777777777,0.538392859697342
24,0.9266775925954183,0.5511574076281653,0.554017859697342
25,0.933525374200609,0.5523148152563307,0.5486607134342194
26,0.9289546092351277,0.5729166666666666,0.5665178596973419
27,0.9332471953497993,0.5518518520726098,0.5549107134342194
28,0.9370149268044365,0.5435185187392765,0.5758928596973419
29,0.9116433196597629,0.5675925930341085,0.5321428596973419
30,0.9241545332802666,0.5263888888888889,0.5642857134342194
31,0.8999246425098844,0.5583333333333333,0.5602678596973419
32,0.9271420478820801,0.5608796298503875,0.5415178596973419
33,0.9149034129248725,0.5581018520726098,0.5883928596973419
34,0.9147321912977431,0.5717592597007751,0.5924107134342194
35,0.9157831695344713,0.5821759263674419,0.5508928596973419
36,0.9024908701578777,0.5634259263674418,0.5611607134342194
37,0.9042006611824036,0.5648148152563307,0.5933035731315612
38,0.8902056064870623,0.5826388888888889,0.5955357134342194
39,0.8872964156998528,0.5891203708118863,0.5665178596973419
40,0.8990415400928922,0.5719907409614987,0.5705357134342194
